bbl,bin,address,zipcode,bldgtype,ess,year,gfa,numbldgs,numfloors,eui,energy,wui,ghg,primary_type,other_types_dict,has_datacenter,electricity,bedrooms,natural_gas,steam,worker_dens,res_units,diesel,fuel_4,fuel_2,fuel_5_6
3002380065,"3001936;3809311",40 Clinton Street,11201,Multifamily Housing,0,1964,103149,1,11,166.6,,,6.3,Multifamily Home,,0,2802876.11,150,7836600,,,151,,,,
4012680051,4029200,34-31 81st Street,11372,Multifamily Housing,0,1937,109592,1,6,85.5,,,3.27,Multifamily Home,,0,1256315.46,274,5844800,,,84,,,,
1017750165,"1054499;1054500",112-128 East 128th Street,10035,Multifamily Housing,0,1980,206697,1,12,150.3,,,5.68,Multifamily Home,,0,2624851.6,400,14022700,,,157,,,418567.93,
3002540019,"3002223;3818115",245 Henry Street,11201,Multifamily Housing,0,1957,58756,1,6,106.5,,,4.12,Multifamily Home,,0,784429.04,58,3120500,,,55,,,,
3067120066,3179803,1412 Ocean Avenue,11230,Multifamily Housing,0,1936,77125,1,6,85.4,,,3.32,Multifamily Home,,0,726991.43,193,3976600,,,54,,,,
4114317501,"4446865;4446929;4246927",84-29 153rd Avenue,11414,Multifamily Housing,0,1965,198869,2,6,181,,,5.76,Multifamily Home,,0,6592311.55,199,,,,156,,,,
3087170002,3245654,3033 Brighton 14th Street,11235,Multifamily Housing,0,1932,63959,1,6,85.3,,,3.15,Multifamily Home,,0,717137.57,160,3410400,,,59,,,,
3059040001,3147141,1 74th Street,11209,Multifamily Housing,0,1938,130830,1,6,101.4,,,3.9,Multifamily Home,,0,1634723.32,327,7937400,,,102,,,,
1019210001,1058309,2321 7th Avenue,10030,Multifamily Housing,0,1983,103959,1,5,125,,,4.68,Multifamily Home,,0,1865476.88,146,7185400,,,88,,,,
3056850041,3139816,5520 15th Ave,11219,Multifamily Housing,0,1939,67200,1,6,103.7,,,4.17,Multifamily Home,,0,610365.86,52,4834300,,,52,,,,
